"binomial","fb_name"
"Grammatobothus polyophthalmus","Grammatobothus polyophthalmus"
"Guavina guavina","Guavina guavina"
"Gudusia chapra","Gudusia chapra"
"Gulaphallus bikolanus","Gulaphallus bikolanus"
"Gymnammodytes cicerelus","Gymnammodytes cicerelus"
"Gymnammodytes semisquamatus","Gymnammodytes semisquamatus"
"Gymnapistes marmoratus","Gymnapistes marmoratus"
"Gymnarchus niloticus","Gymnarchus niloticus"
"Gymnothorax polygonius","Gymnothorax polygonius"
"Gymnotus carapo","Gymnotus carapo"
"Gymnura altavela","Gymnura altavela"
"Gymnura crebripunctata","Gymnura crebripunctata"
"Gymnura marmorata","Gymnura marmorata"
"Gymnura micrura","Gymnura micrura"
"Gymnura poecilura","Gymnura poecilura"
"Halimuraena hexagonata","Halimuraena hexagonata"
"Hampala macrolepidota","Hampala macrolepidota"
"Helicolenus lengerichi","Helicolenus lengerichi"
"Helicophagus waandersii","Helicophagus waandersii"
"Helostoma temminckii",NA
"Hemanthias leptus","Hemanthias leptus"
"Hemibagrus filamentus","Hemibagrus filamentus"
"Hemibagrus nemurus","Hemibagrus nemurus"
"Hemibagrus wyckioides","Hemibagrus wyckioides"
"Hemibates stenosoma","Hemibates stenosoma"
"Hemicaranx bicolor","Hemicaranx bicolor"
"Hemicaranx zelotes","Hemicaranx zelotes"
"Hemichromis elongatus","Hemichromis elongatus"
"Hemichromis fasciatus","Hemichromis fasciatus"
"Hemigaleus microstoma","Hemigaleus microstoma"
"Hemilutjanus macrophthalmos","Hemilutjanus macrophthalmos"
"Hemipristis elongata","Hemipristis elongata"
"Hemisorubim platyrhynchos","Hemisorubim platyrhynchos"
"Henicorhynchus siamensis","Henicorhynchus siamensis"
"Hepsetus kingsleyae","Hepsetus kingsleyae"
"Hepsetus odoe","Hepsetus odoe"
"Heptranchias perlo","Heptranchias perlo"
"Herklotsichthys dispilonotus","Herklotsichthys dispilonotus"
"Herklotsichthys lossei","Herklotsichthys lossei"
"Heteristius cinctus","Heteristius cinctus"
"Heterobranchus longifilis","Heterobranchus longifilis"
"Heteromycteris proboscideus","Heteromycteris proboscideus"
"Heteropneustes fossilis","Heteropneustes fossilis"
"Heterotis niloticus","Heterotis niloticus"
"Hippoglossina oblonga","Hippoglossina oblonga"
"Hirundichthys affinis","Hirundichthys affinis"
"Hirundichthys rondeletii","Hirundichthys rondeletii"
"Holohalaelurus regani","Holohalaelurus regani"
"Hoplias malabaricus","Hoplias malabaricus"
"Hydrocynus forskahlii","Hydrocynus forskahlii"
"Hydrocynus goliath","Hydrocynus goliath"
"Hydrocynus vittatus","Hydrocynus vittatus"
"Hydrolagus macrophthalmus","Hydrolagus macrophthalmus"
"Hydrolagus melanophasma","Hydrolagus melanophasma"
"Hygophum benoiti","Hygophum benoiti"
"Hypanus dipterurus","Hypanus dipterurus"
"Hypanus say","Hypanus say"
"Hyperopisus bebe","Hyperopisus bebe"
"Hyperoplus lanceolatus","Hyperoplus lanceolatus"
"Hypophthalmus edentatus","Hypophthalmus edentatus"
"Hypophthalmus marginatus","Hypophthalmus marginatus"
"Hypophthalmus oremaculatus","Hypophthalmus oremaculatus"
"Hyporthodus acanthistius","Hyporthodus acanthistius"
"Hyporthodus niphobles","Hyporthodus niphobles"
"Hyporthodus quernus","Hyporthodus quernus"
"Hypsibarbus malcolmi","Hypsibarbus malcolmi"
"Ictalurus australis","Ictalurus australis"
"Ictalurus furcatus","Ictalurus furcatus"
"Ictalurus punctatus","Ictalurus punctatus"
"Ictiobus bubalus","Ictiobus bubalus"
"Ilisha fuerthii","Ilisha fuerthii"
"Ilisha megaloptera","Ilisha megaloptera"
"Ilisha melastoma","Ilisha melastoma"
"Isogomphodon oxyrhynchus","Isogomphodon oxyrhynchus"
"Japonolaeops dentatus","Japonolaeops dentatus"
"Johnius amblycephalus","Johnius amblycephalus"
"Johnius dussumieri","Johnius dussumieri"
"Johnius trachycephalus","Johnius trachycephalus"
"Kentrocapros aculeatus","Kentrocapros aculeatus"
"Kryptopterus cryptopterus","Kryptopterus cryptopterus"
"Kuhlia munda","Kuhlia munda"
"Labeo bata","Labeo bata"
